"Winnable Battle Risk Factors and Health Indicators - Summary Report By State"

"GENERATED DATE: 8/19/2020"
"DATA SOURCE: http://wwwn.cdc.gov/SortableStats/Report_Docs/PDFDocs/Sourtable_Stats_Data_Sources.pdf"

Region/State,HIV Diagnosis Rate (2014),Hepatitis B Cases (2015),Hepatitis C Cases (2015),CLABSI-Standardized Infection Ratio (2014),Adult Obesity (2016),Youth Obesity (2015),Diagnosed Diabetes (2014),Diagnosed High Cholesterol (2013),Diagnosed Hypertension (2013),Medicated Hypertension (2013),Teen Birth Rate (2014)
Maine,5.20,0.70,2.30,0.90,29.90,13.30,7.80,39.70,33.30,79.60,16.50
Maryland,27.70,0.70,0.60,0.50,29.90,11.50,9.20,37.00,32.80,80.40,17.80
Massachusetts,12.80,0.40,3.70,0.50,23.60,11.00,8.80,36.50,29.40,75.80,10.60
Michigan,10.00,0.60,0.80,0.40,32.50,14.30,9.00,40.60,34.60,75.70,21.10
Minnesota,7.00,0.30,0.70,0.40,27.80,--,7.50,33.60,27.00,77.00,15.50
Mississippi,21.00,1.70,--,0.80,37.30,18.90,11.90,41.90,40.20,82.90,38.00
Missouri,9.90,0.60,0.10,0.50,31.70,13.10,10.00,38.80,32.10,82.90,27.20
Montana,1.90,0.40,1.50,0.60,25.50,10.30,7.60,35.70,29.30,73.50,26.40
Nebraska,6.10,0.20,0.40,0.70,32.00,13.00,8.40,37.40,30.30,78.50,22.20
Nevada,19.60,0.90,0.40,0.60,25.80,12.20,8.80,38.60,30.60,73.60,28.50
New Hampshire,3.60,0.00,--,0.60,26.60,12.20,7.80,36.70,30.10,76.80,11.00
New Jersey,20.40,0.90,1.50,0.60,27.40,--,8.60,39.20,31.10,78.00,13.10
New Mexico,8.20,0.10,1.90,0.60,28.30,15.60,10.40,36.80,29.50,74.00,37.80
New York,22.80,0.40,0.60,0.50,25.50,13.10,9.20,39.10,31.60,77.80,16.10
North Carolina,17.00,1.60,1.40,0.40,31.80,16.40,9.80,41.00,35.50,78.40,25.90
North Dakota,4.00,0.30,0.00,0.40,31.90,14.00,8.00,36.50,29.70,79.30,23.90
Ohio,10.30,3.50,1.10,0.40,31.50,--,10.30,37.50,33.50,79.40,25.10
Oklahoma,10.50,0.90,0.90,0.40,32.80,17.30,10.90,41.20,37.50,79.00,38.50
Oregon,7.30,0.60,0.30,0.50,28.70,--,8.00,37.00,31.80,71.20,20.00
Pennsylvania,12.20,0.50,1.00,0.40,30.30,14.00,9.60,38.50,33.70,80.50,19.30
Rhode Island,11.20,--,--,0.60,26.60,12.00,8.30,38.70,33.80,79.30,15.80
South Carolina,20.70,0.60,0.10,0.60,32.30,16.30,10.70,42.60,38.40,80.70,28.50
South Dakota,4.10,0.20,--,0.50,29.60,14.70,8.20,36.60,30.70,80.60,26.20
Tennessee,14.70,3.70,2.60,0.30,34.80,18.60,11.70,38.70,38.80,83.90,33.00
Texas,22.10,0.60,0.20,0.50,33.70,--,10.80,37.70,31.20,76.80,37.80
Utah,5.30,0.30,1.00,0.50,25.40,--,7.70,33.40,24.20,67.90,19.40
Vermont,3.50,0.50,0.20,0.50,27.10,12.40,6.90,35.20,31.10,72.60,14.20
Virginia,14.10,0.80,0.60,0.40,29.00,13.00,9.00,38.60,32.50,79.30,18.40
Washington,7.70,0.50,0.90,0.40,28.60,--,8.20,36.70,30.40,68.50,19.10
West Virginia,6.10,14.70,3.40,0.50,37.70,17.90,12.00,42.90,41.00,80.60,36.60
Wisconsin,4.80,0.10,1.10,0.40,30.70,--,8.00,36.30,32.30,77.20,18.00
Wyoming,2.40,--,--,0.30,27.70,11.00,7.80,35.00,28.70,74.50,30.10

